"",""
"",""
"Rótulos de Linha","Soma de TOTAL DE VITIMAS"
"2004","4192"
"2005","4458"
"2006","4634"
"2007","4591"
"2008","4528"
"2009","4018"
"2010","3509"
"2011","3507"
"2012","3321"
"2013","3100"
"2014","3434"
"2015","3889"
"2016","4480"
"2017","5428"
"2018","4173"
"2019","3469"
"2020","3758"
"2021","2227"
"Total Geral","70716"
